Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Complete_Wallet_UI,Chrome 77.0.3865.90,Test end to end Wallet UI tests,,2019-10-11 16:14:59,2019-10-11 16:20:53,5m - 53.912s,INCOMPLETE
,,,,,,,
Test Cases/Login/AdminLogin_ShouldSucceed,Chrome 77.0.3865.90,Logs in to the machine and closes the browser.,login,2019-10-11 16:14:59,2019-10-11 16:15:11,11.397s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2019-10-11 16:15:00,2019-10-11 16:15:04,4.559s,PASSED
maximizeWindow(),Chrome 77.0.3865.90,,,2019-10-11 16:15:04,2019-10-11 16:15:05,1.272s,PASSED
navigateToUrl(login_url),Chrome 77.0.3865.90,,,2019-10-11 16:15:05,2019-10-11 16:15:08,2.492s,PASSED
"setText(findTestObject(""Object Repository/Login_OR/AdminLogin_ShouldSucceed/Page_Unified Wallet/input_Sign in_mat-input-0""), username_admin)",Chrome 77.0.3865.90,,,2019-10-11 16:15:08,2019-10-11 16:15:08,0.359s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_OR/AdminLogin_ShouldSucceed/Page_Unified Wallet/input_Username_mat-input-1""), username_admins_Password)",Chrome 77.0.3865.90,,,2019-10-11 16:15:08,2019-10-11 16:15:09,0.311s,PASSED
"click(findTestObject(""Object Repository/Login_OR/AdminLogin_ShouldSucceed/Page_Unified Wallet/button_Login""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:09,2019-10-11 16:15:09,0.176s,PASSED
delay(2),Chrome 77.0.3865.90,,,2019-10-11 16:15:09,2019-10-11 16:15:11,2.021s,PASSED
,,,,,,,
Test Cases/Employee/Employee_Role_And_Task/Task Group/Add/Add_Role_new_ShoudlSucceed,Chrome 77.0.3865.90,Add a role should give Created Role message,,2019-10-11 16:15:11,2019-10-11 16:15:29,18.089s,PASSED
"callTestCase(findTestCase(""Login/AdminLogin_ShouldSucceed""), [:], STOP_ON_FAILURE)",Chrome 77.0.3865.90,,,2019-10-11 16:15:11,2019-10-11 16:15:20,9.097s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_new_shouldSucceed/Add_new_Tgroup/div_more_vert_hamburgerWrapper""), OPTIONAL)",Chrome 77.0.3865.90,,,2019-10-11 16:15:20,2019-10-11 16:15:23,3.143s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_new_shouldSucceed/Add_new_Tgroup/i_account_circle""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:23,2019-10-11 16:15:23,0.116s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_new_shouldSucceed/Add_new_Tgroup/a_assignmentRole And Task""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:23,2019-10-11 16:15:23,0.082s,PASSED
